<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AFKS,60,20200504,100000,14.2550000,14.2640000,13.9200000,14.1060000,7556400
AFKS,60,20200504,110000,14.1150000,14.1250000,14.0530000,14.0770000,2189500
AFKS,60,20200504,120000,14.0770000,14.1740000,14.0310000,14.1580000,2898900
AFKS,60,20200504,130000,14.1590000,14.2190000,14.1100000,14.1330000,1265300
AFKS,60,20200504,140000,14.1460000,14.1900000,14.1210000,14.1400000,965100
AFKS,60,20200504,150000,14.1330000,14.1650000,14.1050000,14.1450000,811200
AFKS,60,20200504,160000,14.1450000,14.2000000,14.1010000,14.1830000,1744200
AFKS,60,20200504,170000,14.1830000,14.2170000,14.1390000,14.1840000,1433400
AFKS,60,20200504,180000,14.1830000,14.2450000,14.1650000,14.2090000,1932600
AFKS,60,20200505,100000,14.3640000,14.4500000,14.3060000,14.3820000,4418900
AFKS,60,20200505,110000,14.3810000,14.3810000,14.2590000,14.2900000,1517800
AFKS,60,20200505,120000,14.2790000,14.3540000,14.2700000,14.3260000,732200
AFKS,60,20200505,130000,14.3200000,14.3540000,14.2810000,14.3050000,898600
AFKS,60,20200505,140000,14.3080000,14.3500000,14.3030000,14.3400000,392900
AFKS,60,20200505,150000,14.3320000,14.3400000,14.2820000,14.3130000,636000
AFKS,60,20200505,160000,14.3160000,14.4170000,14.3000000,14.4100000,1623500
AFKS,60,20200505,170000,14.4100000,14.4490000,14.3870000,14.4000000,2096300
AFKS,60,20200505,180000,14.4050000,14.5590000,14.4030000,14.4890000,4755500
AFKS,60,20200506,100000,14.5010000,14.6410000,14.3930000,14.3930000,5790000
AFKS,60,20200506,110000,14.3940000,14.5590000,14.3940000,14.5500000,4110400
AFKS,60,20200506,120000,14.5500000,14.5900000,14.5100000,14.5650000,1070500
AFKS,60,20200506,130000,14.5650000,14.5770000,14.4920000,14.5200000,807000
AFKS,60,20200506,140000,14.5110000,14.5250000,14.4350000,14.4420000,1765400
AFKS,60,20200506,150000,14.4420000,14.5320000,14.4350000,14.4640000,2513800
AFKS,60,20200506,160000,14.4570000,14.5130000,14.4350000,14.4500000,1110400
AFKS,60,20200506,170000,14.4450000,14.5300000,14.4080000,14.5300000,2132000
AFKS,60,20200506,180000,14.5200000,14.5500000,14.4820000,14.5150000,2791100
AFKS,60,20200507,100000,14.5200000,14.6350000,14.5010000,14.5190000,2272500
AFKS,60,20200507,110000,14.5240000,14.5280000,14.4220000,14.4340000,1951700
AFKS,60,20200507,120000,14.4250000,14.5400000,14.4140000,14.5230000,1554800
AFKS,60,20200507,130000,14.5190000,14.5490000,14.4730000,14.4810000,1216400
AFKS,60,20200507,140000,14.4810000,14.5390000,14.4790000,14.5160000,703300
AFKS,60,20200507,150000,14.5170000,14.5200000,14.4550000,14.4580000,938400
AFKS,60,20200507,160000,14.4650000,14.4770000,14.3550000,14.4000000,3233000
AFKS,60,20200507,170000,14.4000000,14.4500000,14.3890000,14.4200000,1909800
AFKS,60,20200507,180000,14.4200000,14.4390000,14.3880000,14.3880000,2268300
AFKS,60,20200508,100000,14.4100000,14.4580000,14.2300000,14.2650000,3553800
AFKS,60,20200508,110000,14.2560000,14.3250000,14.2240000,14.2530000,2239200
AFKS,60,20200508,120000,14.2650000,14.3240000,14.2240000,14.3040000,385700
AFKS,60,20200508,130000,14.3050000,14.3210000,14.2350000,14.2760000,656300
AFKS,60,20200508,140000,14.2800000,14.2850000,14.1760000,14.2240000,1777500
AFKS,60,20200508,150000,14.2240000,14.2950000,14.2120000,14.2830000,705800
AFKS,60,20200508,160000,14.2900000,14.3750000,14.2800000,14.3750000,1679000
AFKS,60,20200508,170000,14.3750000,14.4200000,14.3630000,14.3960000,1438400
AFKS,60,20200508,180000,14.3970000,14.4850000,14.3920000,14.4850000,2611300
AFKS,60,20200512,100000,14.5000000,14.5900000,14.3960000,14.4700000,4205100
AFKS,60,20200512,110000,14.4800000,14.5310000,14.4670000,14.5100000,652300
AFKS,60,20200512,120000,14.5020000,14.5030000,14.3610000,14.4690000,1386200
AFKS,60,20200512,130000,14.4690000,14.5090000,14.4240000,14.5050000,1163300
AFKS,60,20200512,140000,14.5050000,14.5050000,14.4550000,14.4640000,513500
AFKS,60,20200512,150000,14.4640000,14.4990000,14.3710000,14.4150000,1170500
AFKS,60,20200512,160000,14.4050000,14.4650000,14.3110000,14.3800000,1710100
AFKS,60,20200512,170000,14.3900000,14.4000000,14.3470000,14.4000000,2180700
AFKS,60,20200512,180000,14.4000000,14.4070000,14.3000000,14.4070000,4570700
AFKS,60,20200513,100000,14.3410000,14.3820000,14.0400000,14.0680000,9261700
AFKS,60,20200513,110000,14.0700000,14.2050000,14.0550000,14.1410000,2776500
AFKS,60,20200513,120000,14.1410000,14.1940000,14.0900000,14.1510000,1398700
AFKS,60,20200513,130000,14.1520000,14.1680000,14.1390000,14.1560000,552100
AFKS,60,20200513,140000,14.1630000,14.1630000,14.1120000,14.1200000,748000
AFKS,60,20200513,150000,14.1270000,14.1540000,14.1190000,14.1320000,967100
AFKS,60,20200513,160000,14.1230000,14.1550000,14.0430000,14.1270000,3938800
AFKS,60,20200513,170000,14.1270000,14.1900000,14.1030000,14.1030000,2638700
AFKS,60,20200513,180000,14.1100000,14.1600000,14.0600000,14.1600000,4303100
AFKS,60,20200514,100000,14.0500000,14.0850000,13.9200000,13.9390000,4554200
AFKS,60,20200514,110000,13.9380000,14.0370000,13.9200000,14.0150000,2359100
AFKS,60,20200514,120000,14.0120000,14.1070000,13.9900000,14.1050000,1153900
AFKS,60,20200514,130000,14.1010000,14.1020000,14.0180000,14.0250000,1297400
AFKS,60,20200514,140000,14.0300000,14.0320000,13.9200000,13.9640000,2493300
AFKS,60,20200514,150000,13.9510000,13.9600000,13.7780000,13.8090000,4654500
AFKS,60,20200514,160000,13.8100000,13.8810000,13.7600000,13.7800000,3527300
AFKS,60,20200514,170000,13.7820000,13.8550000,13.7400000,13.8230000,4288700
AFKS,60,20200514,180000,13.8250000,13.9400000,13.7650000,13.8000000,4812800
AFKS,60,20200515,100000,13.9510000,14.0700000,13.9310000,14.0390000,4032200
AFKS,60,20200515,110000,14.0360000,14.0590000,14.0050000,14.0500000,1380600
AFKS,60,20200515,120000,14.0500000,14.0550000,14.0000000,14.0230000,1645500
AFKS,60,20200515,130000,14.0220000,14.0400000,13.9510000,13.9520000,1177500
AFKS,60,20200515,140000,13.9560000,13.9870000,13.9150000,13.9220000,640100
AFKS,60,20200515,150000,13.9220000,13.9890000,13.9100000,13.9600000,755100
AFKS,60,20200515,160000,13.9630000,13.9950000,13.9040000,13.9780000,1352400
AFKS,60,20200515,170000,13.9860000,14.0310000,13.9620000,13.9750000,1935100
AFKS,60,20200515,180000,13.9750000,14.0000000,13.9420000,14.0000000,1397600
AFKS,60,20200518,100000,14.0250000,14.2840000,14.0010000,14.2150000,7584500
AFKS,60,20200518,110000,14.2150000,14.3600000,14.1950000,14.3150000,3296700
AFKS,60,20200518,120000,14.3060000,14.3190000,14.1400000,14.1880000,2952300
AFKS,60,20200518,130000,14.1850000,14.2020000,14.1220000,14.1350000,2418100
AFKS,60,20200518,140000,14.1390000,14.1710000,14.0700000,14.1480000,4319300
AFKS,60,20200518,150000,14.1500000,14.2670000,14.1320000,14.2200000,2889400
AFKS,60,20200518,160000,14.2200000,14.3090000,14.1900000,14.3010000,4020500
AFKS,60,20200518,170000,14.3010000,14.4000000,14.3000000,14.3950000,4823700
AFKS,60,20200518,180000,14.3950000,14.4490000,14.2850000,14.4200000,6163300
AFKS,60,20200519,100000,14.4990000,14.5560000,14.4240000,14.5010000,6533100
