<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AMEZ,60,20200504,100000,4.0400000,4.0400000,3.9950000,4.0000000,85100
AMEZ,60,20200504,110000,3.9950000,4.0350000,3.9950000,4.0350000,30900
AMEZ,60,20200504,120000,4.0100000,4.0350000,4.0050000,4.0350000,13300
AMEZ,60,20200504,130000,4.0350000,4.0750000,4.0200000,4.0250000,58100
AMEZ,60,20200504,140000,4.0550000,4.0700000,4.0400000,4.0450000,22100
AMEZ,60,20200504,150000,4.0700000,4.0700000,4.0300000,4.0550000,18900
AMEZ,60,20200504,160000,4.0500000,4.0550000,4.0250000,4.0300000,9000
AMEZ,60,20200504,170000,4.0300000,4.0750000,4.0300000,4.0350000,50500
AMEZ,60,20200504,180000,4.0400000,4.0550000,3.9950000,4.0100000,72000
AMEZ,60,20200505,100000,4.0900000,4.1100000,4.0400000,4.0700000,61400
AMEZ,60,20200505,110000,4.0750000,4.0750000,4.0350000,4.0650000,27700
AMEZ,60,20200505,120000,4.0550000,4.0900000,4.0550000,4.0850000,33700
AMEZ,60,20200505,130000,4.0850000,4.0850000,4.0400000,4.0400000,109200
AMEZ,60,20200505,140000,4.0500000,4.0500000,4.0350000,4.0350000,1000
AMEZ,60,20200505,150000,4.0400000,4.0500000,4.0300000,4.0500000,40200
AMEZ,60,20200505,160000,4.0500000,4.0500000,4.0350000,4.0400000,54500
AMEZ,60,20200505,170000,4.0450000,4.0750000,4.0450000,4.0500000,13400
AMEZ,60,20200505,180000,4.0500000,4.0650000,4.0250000,4.0350000,204800
AMEZ,60,20200506,100000,4.0700000,4.0700000,4.0100000,4.0500000,44900
AMEZ,60,20200506,110000,4.0500000,4.0500000,4.0000000,4.0200000,185700
AMEZ,60,20200506,120000,4.0150000,4.0150000,3.9050000,3.9400000,518400
AMEZ,60,20200506,130000,3.9450000,3.9950000,3.9000000,3.9750000,540700
AMEZ,60,20200506,140000,3.9750000,3.9900000,3.9450000,3.9850000,33900
AMEZ,60,20200506,150000,3.9800000,3.9850000,3.9500000,3.9550000,15100
