<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20200504,100000,195.6800000,195.6800000,193.5200000,195.3200000,13872380
SBER,60,20200504,110000,195.2900000,195.5700000,194.5000000,194.6600000,4605570
SBER,60,20200504,120000,194.6700000,194.7900000,194.0000000,194.4500000,5616790
SBER,60,20200504,130000,194.5000000,195.1500000,194.0700000,194.2100000,3454030
SBER,60,20200504,140000,194.2200000,194.4500000,193.2600000,193.6600000,6715320
SBER,60,20200504,150000,193.6500000,194.3600000,193.3000000,193.5300000,4118370
SBER,60,20200504,160000,193.5400000,194.5500000,193.2900000,194.3000000,6582830
SBER,60,20200504,170000,194.3000000,195.1400000,193.6000000,193.6200000,6695670
SBER,60,20200504,180000,193.6200000,194.1800000,193.5500000,193.6900000,4578970
SBER,60,20200505,100000,195.5400000,196.4600000,195.0200000,195.2900000,9050560
SBER,60,20200505,110000,195.2700000,195.8100000,194.5500000,194.6400000,5019380
SBER,60,20200505,120000,194.6000000,195.2000000,194.4200000,194.7500000,3304010
SBER,60,20200505,130000,194.7500000,194.9400000,194.0000000,194.4000000,3533320
SBER,60,20200505,140000,194.4300000,195.1300000,194.1800000,194.9500000,1752880
SBER,60,20200505,150000,194.9500000,195.0800000,194.5500000,195.0500000,1618570
SBER,60,20200505,160000,195.0600000,195.5300000,194.9000000,195.4500000,3693180
SBER,60,20200505,170000,195.4600000,195.7600000,194.3500000,194.6900000,4287690
SBER,60,20200505,180000,194.7100000,195.0100000,194.6100000,194.7500000,2980330
SBER,60,20200506,100000,194.9900000,195.5500000,194.3000000,194.5000000,6577590
SBER,60,20200506,110000,194.5100000,195.8900000,194.4000000,195.7900000,6736600
SBER,60,20200506,120000,195.7900000,196.9000000,195.4300000,196.9000000,6721340
SBER,60,20200506,130000,196.8700000,197.0500000,196.3200000,196.8000000,2932420
SBER,60,20200506,140000,196.7900000,197.2300000,195.9000000,196.1100000,6348470
SBER,60,20200506,150000,196.0700000,196.4400000,195.5200000,195.7200000,5788610
SBER,60,20200506,160000,195.8000000,196.2700000,195.3500000,195.5000000,3816610
SBER,60,20200506,170000,195.5100000,196.5000000,195.1500000,196.3400000,5535640
SBER,60,20200506,180000,196.3600000,196.3900000,195.7000000,195.7000000,5056620
SBER,60,20200507,100000,196.0000000,196.6500000,195.6600000,195.6900000,7062850
SBER,60,20200507,110000,195.6800000,196.2400000,195.0600000,195.9800000,3888180
SBER,60,20200507,120000,196.0100000,196.9000000,195.5800000,196.7300000,6275190
SBER,60,20200507,130000,196.7300000,197.7200000,196.4000000,197.6500000,6465020
SBER,60,20200507,140000,197.6900000,198.1500000,197.2300000,197.9700000,6481830
SBER,60,20200507,150000,197.9800000,198.1300000,197.1100000,197.2800000,4317330
SBER,60,20200507,160000,197.2800000,197.3300000,195.7000000,196.2400000,11462840
SBER,60,20200507,170000,196.2800000,196.3400000,195.4000000,195.9100000,7550050
SBER,60,20200507,180000,195.9000000,196.3100000,195.5000000,195.5100000,4167270
SBER,60,20200508,100000,196.0000000,196.2500000,194.7000000,195.1900000,8843840
SBER,60,20200508,110000,195.0600000,195.8500000,194.9600000,195.1000000,3930750
SBER,60,20200508,120000,195.1200000,195.8900000,195.1200000,195.7000000,990120
SBER,60,20200508,130000,195.6400000,195.8800000,195.1300000,195.2700000,1205500
SBER,60,20200508,140000,195.3400000,195.4300000,194.6000000,195.1200000,2800880
SBER,60,20200508,150000,195.1300000,195.8900000,194.8300000,195.6800000,2683860
SBER,60,20200508,160000,195.6800000,196.1600000,195.4100000,195.9100000,3655670
SBER,60,20200508,170000,195.9100000,196.2500000,195.7700000,196.0500000,4522470
SBER,60,20200508,180000,196.0500000,196.2500000,195.9100000,196.0200000,5142190
SBER,60,20200512,100000,193.3000000,198.0000000,192.7600000,194.4200000,20035920
SBER,60,20200512,110000,194.4400000,194.7900000,193.2300000,193.2700000,8495850
SBER,60,20200512,120000,193.2700000,193.8400000,192.8400000,193.2700000,5616110
SBER,60,20200512,130000,193.2600000,193.6900000,193.1000000,193.2600000,3445180
SBER,60,20200512,140000,193.2700000,193.7500000,192.5700000,192.6400000,4690800
SBER,60,20200512,150000,192.6300000,192.9400000,192.5000000,192.8000000,3994590
SBER,60,20200512,160000,192.8100000,193.1700000,192.1400000,192.3100000,5893680
SBER,60,20200512,170000,192.3100000,192.4600000,191.2000000,191.7400000,6867210
SBER,60,20200512,180000,191.7300000,192.3900000,191.4000000,191.4000000,8230980
SBER,60,20200513,100000,190.0500000,190.6000000,186.6600000,187.3400000,21050070
SBER,60,20200513,110000,187.3000000,188.3900000,187.1800000,187.8700000,6518190
SBER,60,20200513,120000,187.8700000,188.8500000,187.8300000,188.6300000,4261510
SBER,60,20200513,130000,188.6300000,188.8800000,188.3600000,188.8200000,1948180
SBER,60,20200513,140000,188.8200000,188.8500000,188.0200000,188.5800000,2218070
SBER,60,20200513,150000,188.6300000,190.3000000,188.5500000,189.2000000,8193490
SBER,60,20200513,160000,189.2000000,189.2800000,188.0000000,188.2100000,6124780
SBER,60,20200513,170000,188.2100000,188.7800000,187.7000000,187.7000000,5222120
SBER,60,20200513,180000,187.7200000,188.3200000,187.3100000,187.3100000,7720480
SBER,60,20200514,100000,186.4900000,187.5400000,185.7500000,185.9800000,11185250
SBER,60,20200514,110000,185.9500000,187.6900000,185.3400000,186.9300000,8268770
