<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,60,20200504,100000,2809.8000000,2817.0000000,2776.8000000,2804.2000000,100689
YNDX,60,20200504,110000,2802.2000000,2806.2000000,2785.4000000,2789.6000000,32235
YNDX,60,20200504,120000,2789.6000000,2815.6000000,2785.0000000,2809.6000000,26379
YNDX,60,20200504,130000,2809.8000000,2818.0000000,2801.0000000,2809.0000000,19130
YNDX,60,20200504,140000,2809.8000000,2813.8000000,2805.8000000,2813.0000000,9929
YNDX,60,20200504,150000,2812.2000000,2829.0000000,2809.6000000,2822.8000000,26695
YNDX,60,20200504,160000,2822.8000000,2825.2000000,2797.4000000,2808.0000000,63086
YNDX,60,20200504,170000,2808.6000000,2848.8000000,2804.8000000,2825.0000000,109152
YNDX,60,20200504,180000,2825.0000000,2833.8000000,2817.4000000,2828.8000000,26864
YNDX,60,20200505,100000,2849.8000000,2876.8000000,2849.2000000,2856.6000000,79407
YNDX,60,20200505,110000,2856.4000000,2862.8000000,2833.2000000,2837.0000000,32068
YNDX,60,20200505,120000,2837.6000000,2845.8000000,2831.0000000,2840.0000000,35934
YNDX,60,20200505,130000,2841.8000000,2843.8000000,2834.2000000,2839.2000000,14114
YNDX,60,20200505,140000,2839.0000000,2846.0000000,2837.0000000,2843.6000000,7137
YNDX,60,20200505,150000,2844.2000000,2857.6000000,2841.4000000,2852.4000000,19052
YNDX,60,20200505,160000,2853.6000000,2862.2000000,2833.4000000,2860.0000000,69646
YNDX,60,20200505,170000,2860.0000000,2868.8000000,2841.0000000,2847.6000000,64016
YNDX,60,20200505,180000,2848.4000000,2852.0000000,2837.6000000,2842.2000000,31037
YNDX,60,20200506,100000,2849.0000000,2857.8000000,2831.2000000,2831.8000000,39073
YNDX,60,20200506,110000,2832.6000000,2858.6000000,2830.2000000,2856.8000000,28402
YNDX,60,20200506,120000,2856.8000000,2864.6000000,2854.0000000,2863.8000000,25962
YNDX,60,20200506,130000,2864.6000000,2865.0000000,2858.2000000,2859.8000000,10648
YNDX,60,20200506,140000,2860.6000000,2861.4000000,2840.4000000,2843.4000000,34728
YNDX,60,20200506,150000,2843.4000000,2853.4000000,2833.2000000,2841.0000000,57720
YNDX,60,20200506,160000,2841.4000000,2883.2000000,2840.2000000,2858.6000000,102783
YNDX,60,20200506,170000,2857.0000000,2873.0000000,2838.0000000,2866.0000000,51622
YNDX,60,20200506,180000,2866.2000000,2870.4000000,2851.2000000,2864.0000000,25903
YNDX,60,20200507,100000,2869.0000000,2879.0000000,2862.4000000,2865.4000000,48060
YNDX,60,20200507,110000,2866.6000000,2875.2000000,2858.0000000,2868.0000000,30928
YNDX,60,20200507,120000,2869.6000000,2890.4000000,2868.2000000,2883.4000000,59017
YNDX,60,20200507,130000,2882.8000000,2888.0000000,2880.0000000,2884.0000000,12363
YNDX,60,20200507,140000,2883.2000000,2889.2000000,2876.2000000,2884.8000000,25755
YNDX,60,20200507,150000,2886.8000000,2892.0000000,2881.0000000,2884.0000000,16679
YNDX,60,20200507,160000,2883.0000000,2899.0000000,2877.0000000,2882.0000000,65407
YNDX,60,20200507,170000,2881.0000000,2912.4000000,2870.4000000,2912.0000000,121933
YNDX,60,20200507,180000,2912.0000000,2918.8000000,2904.2000000,2910.2000000,49908
YNDX,60,20200508,100000,2975.0000000,2985.8000000,2950.6000000,2951.0000000,122089
YNDX,60,20200508,110000,2951.0000000,2973.8000000,2950.2000000,2965.0000000,56535
YNDX,60,20200508,120000,2966.0000000,2966.0000000,2960.2000000,2963.4000000,2123
YNDX,60,20200508,130000,2962.2000000,2964.8000000,2951.0000000,2953.0000000,19354
YNDX,60,20200508,140000,2953.4000000,2956.6000000,2933.0000000,2946.0000000,42665
YNDX,60,20200508,150000,2945.0000000,2969.0000000,2940.0000000,2967.6000000,31948
YNDX,60,20200508,160000,2967.6000000,2992.0000000,2964.0000000,2983.6000000,96032
YNDX,60,20200508,170000,2983.6000000,2989.0000000,2954.6000000,2955.0000000,64828
YNDX,60,20200508,180000,2955.2000000,2977.4000000,2951.0000000,2975.2000000,35756
YNDX,60,20200512,100000,2968.0000000,2979.8000000,2960.6000000,2962.6000000,41512
YNDX,60,20200512,110000,2964.0000000,2969.2000000,2954.0000000,2961.2000000,20127
YNDX,60,20200512,120000,2960.0000000,2960.8000000,2937.0000000,2946.0000000,22729
YNDX,60,20200512,130000,2946.8000000,2964.4000000,2945.8000000,2963.6000000,9441
YNDX,60,20200512,140000,2963.2000000,2969.0000000,2953.0000000,2954.0000000,15645
YNDX,60,20200512,150000,2954.2000000,2960.0000000,2947.8000000,2955.0000000,22857
YNDX,60,20200512,160000,2955.6000000,2964.8000000,2927.0000000,2941.0000000,43304
YNDX,60,20200512,170000,2941.4000000,2964.0000000,2931.6000000,2959.6000000,54231
YNDX,60,20200512,180000,2959.6000000,2977.0000000,2956.4000000,2977.0000000,51838
YNDX,60,20200513,100000,2958.4000000,2958.4000000,2890.4000000,2913.6000000,155681
YNDX,60,20200513,110000,2913.2000000,2935.8000000,2912.0000000,2920.6000000,47989
YNDX,60,20200513,120000,2920.6000000,2934.8000000,2915.0000000,2933.0000000,20002
YNDX,60,20200513,130000,2933.0000000,2934.8000000,2925.0000000,2934.0000000,16017
YNDX,60,20200513,140000,2934.2000000,2939.2000000,2920.4000000,2936.4000000,18470
YNDX,60,20200513,150000,2937.0000000,2939.4000000,2926.4000000,2936.6000000,11856
YNDX,60,20200513,160000,2936.6000000,2949.0000000,2906.2000000,2912.0000000,90304
YNDX,60,20200513,170000,2912.0000000,2928.6000000,2901.2000000,2907.8000000,66061
YNDX,60,20200513,180000,2909.8000000,2919.0000000,2892.8000000,2893.4000000,85320
YNDX,60,20200514,100000,2875.2000000,2879.2000000,2842.2000000,2852.0000000,91173
YNDX,60,20200514,110000,2850.0000000,2870.0000000,2843.0000000,2866.0000000,27013
YNDX,60,20200514,120000,2866.0000000,2883.0000000,2863.0000000,2879.6000000,24001
YNDX,60,20200514,130000,2878.4000000,2879.8000000,2860.2000000,2865.4000000,13865
YNDX,60,20200514,140000,2866.4000000,2868.8000000,2851.6000000,2855.8000000,19823
YNDX,60,20200514,150000,2856.2000000,2860.0000000,2830.0000000,2841.4000000,69388
YNDX,60,20200514,160000,2841.4000000,2852.8000000,2796.6000000,2798.4000000,108143
YNDX,60,20200514,170000,2797.2000000,2819.6000000,2785.8000000,2813.6000000,132296
YNDX,60,20200514,180000,2813.6000000,2841.4000000,2812.0000000,2821.8000000,72113
YNDX,60,20200515,100000,2858.0000000,2890.0000000,2855.2000000,2888.0000000,107891
