<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20200103,100000,255.9700000,256.9700000,255.5200000,255.7700000,4651320
SBER,60,20200103,110000,255.7800000,257.0500000,255.5200000,257.0100000,3754140
SBER,60,20200103,120000,257.0000000,258.1900000,256.7700000,257.2000000,4061070
SBER,60,20200103,130000,257.2000000,257.6000000,256.0600000,256.4500000,3052930
SBER,60,20200103,140000,256.4500000,256.7500000,254.5600000,254.6500000,5143900
SBER,60,20200103,150000,254.6400000,255.0000000,253.7000000,254.9700000,4554160
SBER,60,20200103,160000,254.9500000,255.1000000,254.3000000,254.5000000,2546990
SBER,60,20200103,170000,254.5100000,254.9600000,254.3000000,254.3500000,3059620
SBER,60,20200103,180000,254.3800000,255.1600000,254.1000000,255.0000000,5000030
SBER,60,20200106,100000,254.7500000,254.8400000,252.0300000,252.1000000,4578260
SBER,60,20200106,110000,252.1000000,253.9200000,251.7600000,252.0500000,3997770
SBER,60,20200106,120000,252.0500000,252.4500000,251.4000000,251.7100000,2485200
SBER,60,20200106,130000,251.7200000,252.1400000,251.5000000,251.8400000,1246790
SBER,60,20200106,140000,251.8000000,252.1400000,251.4000000,252.0100000,764010
SBER,60,20200106,150000,252.0100000,252.5000000,251.7200000,252.1700000,1386000
SBER,60,20200106,160000,252.1100000,252.6500000,251.7000000,252.4600000,1730040
SBER,60,20200106,170000,252.4000000,252.7400000,252.1000000,252.4900000,1933000
SBER,60,20200106,180000,252.4700000,253.9000000,252.4700000,253.9000000,4206870
SBER,60,20200108,100000,253.6200000,255.7000000,253.0300000,255.0600000,7194480
SBER,60,20200108,110000,255.0700000,258.0000000,255.0200000,256.2800000,8401760
SBER,60,20200108,120000,256.3100000,257.4300000,256.2600000,256.7800000,3161750
SBER,60,20200108,130000,256.8600000,256.9800000,255.8100000,256.9100000,2566260
SBER,60,20200108,140000,256.9100000,257.2500000,256.6500000,256.8700000,3753530
SBER,60,20200108,150000,256.8800000,257.9900000,256.7500000,257.8400000,3298670
SBER,60,20200108,160000,257.8700000,258.6900000,257.0200000,258.1400000,4609590
SBER,60,20200108,170000,258.2100000,258.8600000,257.9500000,258.7200000,2330570
SBER,60,20200108,180000,258.7100000,259.1500000,258.3200000,259.1500000,5419420
SBER,60,20200109,100000,259.4100000,261.7600000,259.3600000,261.1000000,8518180
SBER,60,20200109,110000,261.0900000,261.0900000,258.6800000,258.9700000,6415810
SBER,60,20200109,120000,259.0000000,259.8700000,258.2800000,259.7500000,2273080
SBER,60,20200109,130000,259.7300000,260.9400000,258.8900000,258.9500000,3262650
SBER,60,20200109,140000,258.9700000,259.5400000,258.7400000,259.4800000,2952080
SBER,60,20200109,150000,259.4800000,259.8600000,257.5500000,258.3800000,4025130
SBER,60,20200109,160000,258.3800000,258.8000000,257.8000000,257.9800000,1656800
SBER,60,20200109,170000,257.9200000,258.6800000,257.5800000,257.7800000,3533850
SBER,60,20200109,180000,257.7900000,258.0300000,257.0100000,257.9900000,5558720
SBER,60,20200110,100000,257.9100000,258.2100000,256.8800000,257.4500000,3143850
SBER,60,20200110,110000,257.4200000,259.2500000,257.1300000,258.8700000,4329890
SBER,60,20200110,120000,258.8800000,259.1000000,258.4300000,258.7000000,2032870
SBER,60,20200110,130000,258.7000000,258.7900000,258.0000000,258.0500000,1018400
SBER,60,20200110,140000,258.0500000,258.4700000,257.7000000,258.1400000,1283390
SBER,60,20200110,150000,258.1300000,258.5700000,257.9000000,258.0700000,1159530
SBER,60,20200110,160000,258.0400000,258.1300000,257.4300000,257.7600000,1706020
SBER,60,20200110,170000,257.7300000,258.3000000,257.4700000,257.9300000,1247170
SBER,60,20200110,180000,257.8500000,258.2600000,257.6200000,258.1900000,2920530
SBER,60,20200113,100000,258.2100000,258.9300000,257.1500000,258.8700000,3336840
SBER,60,20200113,110000,258.8900000,259.4000000,258.1000000,258.4600000,2668700
SBER,60,20200113,120000,258.4000000,259.4000000,258.2500000,258.9100000,1509600
SBER,60,20200113,130000,258.9800000,259.0000000,258.5100000,258.9000000,1283090
SBER,60,20200113,140000,258.9000000,259.8300000,258.7200000,258.9800000,2550230
SBER,60,20200113,150000,258.9200000,259.4200000,258.5000000,258.7200000,1372490
SBER,60,20200113,160000,258.7200000,259.9600000,258.7200000,259.8400000,1491750
SBER,60,20200113,170000,259.8600000,261.1600000,259.8600000,260.8900000,5302350
SBER,60,20200113,180000,260.9000000,262.4000000,260.1400000,262.4000000,6334850
SBER,60,20200114,100000,262.5800000,263.2200000,261.1500000,261.9200000,5243690
SBER,60,20200114,110000,261.9300000,261.9500000,259.9300000,260.3100000,4815620
SBER,60,20200114,120000,260.3400000,261.2000000,260.2000000,260.8800000,2312030
SBER,60,20200114,130000,260.9000000,261.6300000,260.5000000,260.8800000,2721230
SBER,60,20200114,140000,260.9000000,260.9200000,259.0400000,259.5500000,4184610
SBER,60,20200114,150000,259.5500000,259.6000000,258.6200000,259.3500000,2451340
SBER,60,20200114,160000,259.3000000,259.9900000,258.8100000,259.5900000,2332120
SBER,60,20200114,170000,259.5800000,260.0400000,259.0700000,259.2800000,2564870
SBER,60,20200114,180000,259.2500000,260.0000000,259.0500000,259.0500000,4471620
SBER,60,20200115,100000,258.4500000,258.9100000,257.3400000,257.7800000,3818770
SBER,60,20200115,110000,257.8000000,258.0000000,256.3100000,257.6600000,4975980
SBER,60,20200115,120000,257.6500000,258.3900000,257.5000000,258.0400000,3913290
SBER,60,20200115,130000,258.0400000,258.4800000,257.1800000,257.5800000,2042880
SBER,60,20200115,140000,257.6000000,258.3300000,256.9300000,257.4000000,2184650
SBER,60,20200115,150000,257.4000000,257.7000000,256.7300000,256.8300000,2692910
SBER,60,20200115,160000,256.8800000,257.0900000,254.2100000,254.9000000,13870290
SBER,60,20200115,170000,254.9000000,257.4600000,254.5500000,256.7900000,9461090
SBER,60,20200115,180000,256.7700000,256.9000000,255.7800000,256.3100000,6368640
SBER,60,20200116,100000,257.1100000,259.5100000,257.1100000,258.9300000,8501910
SBER,60,20200116,110000,258.9300000,259.2400000,257.7500000,257.8000000,5921730
SBER,60,20200116,120000,257.7600000,258.2300000,256.5500000,257.1400000,6125160
SBER,60,20200116,130000,257.1400000,257.8900000,256.5000000,257.2200000,4314860
SBER,60,20200116,140000,257.2000000,257.2700000,256.7700000,257.0200000,2710210
SBER,60,20200116,150000,257.0400000,257.5000000,257.0000000,257.1800000,2066180
SBER,60,20200116,160000,257.1800000,257.2000000,256.1200000,256.2000000,2900300
SBER,60,20200116,170000,256.2400000,257.3100000,256.1000000,257.0800000,3414770
SBER,60,20200116,180000,257.0800000,257.5100000,256.7300000,257.5100000,4270300
SBER,60,20200117,100000,258.2000000,259.9900000,257.7500000,259.9000000,7252230
SBER,60,20200117,110000,259.8500000,261.2500000,259.4500000,260.9000000,7573050
SBER,60,20200117,120000,260.9000000,261.4300000,260.5000000,260.7200000,4012050
SBER,60,20200117,130000,260.7200000,261.8800000,260.5700000,261.0000000,4392840
SBER,60,20200117,140000,260.9900000,262.3600000,260.8800000,262.3500000,4558910
SBER,60,20200117,150000,262.3500000,262.8200000,261.7100000,262.3200000,3503850
SBER,60,20200117,160000,262.3200000,262.8000000,261.8100000,262.1000000,3569190
SBER,60,20200117,170000,262.0700000,262.7700000,261.8900000,262.7000000,4484210
SBER,60,20200117,180000,262.7000000,262.7700000,262.0100000,262.5000000,5545010
SBER,60,20200120,100000,263.2200000,263.8100000,261.8000000,262.6500000,5488970
SBER,60,20200120,110000,262.7000000,265.0000000,262.5000000,264.8700000,6835030
SBER,60,20200120,120000,264.8800000,264.9700000,264.0000000,264.6200000,2102460
SBER,60,20200120,130000,264.6200000,265.9000000,264.5500000,265.6300000,4262330
SBER,60,20200120,140000,265.6300000,266.2200000,265.2100000,265.2700000,2558290
SBER,60,20200120,150000,265.2900000,265.9000000,265.1300000,265.8700000,1287000
SBER,60,20200120,160000,265.9000000,266.1000000,265.3800000,265.5900000,1358070
SBER,60,20200120,170000,265.5900000,266.7700000,265.4600000,266.7700000,2080740
SBER,60,20200120,180000,266.7400000,266.9700000,266.0900000,266.2800000,3776320
SBER,60,20200121,100000,265.4700000,265.5000000,263.0200000,264.0300000,8222670
SBER,60,20200121,110000,264.0600000,264.7800000,263.7000000,264.7000000,3807560
SBER,60,20200121,120000,264.7000000,265.1100000,264.1700000,264.5800000,2313070
SBER,60,20200121,130000,264.5700000,264.9800000,264.0000000,264.3500000,1956290
SBER,60,20200121,140000,264.3200000,264.6700000,263.8000000,264.4600000,1843320
SBER,60,20200121,150000,264.4600000,265.3200000,264.4400000,264.8000000,2141540
SBER,60,20200121,160000,264.8300000,266.1000000,264.5000000,265.5000000,3017730
SBER,60,20200121,170000,265.5100000,268.2700000,265.4600000,267.9800000,7405670
SBER,60,20200121,180000,267.9800000,268.9000000,267.2500000,268.0600000,7219970
SBER,60,20200122,100000,268.6300000,270.8000000,268.3900000,269.9300000,9192840
SBER,60,20200122,110000,269.9300000,270.6900000,268.0500000,268.2700000,6427020
SBER,60,20200122,120000,268.1900000,268.5900000,266.8400000,268.0200000,5958530
SBER,60,20200122,130000,268.0500000,268.8200000,267.4100000,267.6800000,2677420
SBER,60,20200122,140000,267.6800000,267.6900000,265.5000000,265.5100000,4499580
SBER,60,20200122,150000,265.5500000,266.7000000,265.5000000,266.2300000,3092720
SBER,60,20200122,160000,266.2500000,266.9200000,265.5900000,266.7500000,2616840
SBER,60,20200122,170000,266.7400000,268.3300000,266.5200000,267.3500000,4803640
SBER,60,20200122,180000,267.3500000,267.4500000,266.5400000,266.5400000,4902330
SBER,60,20200123,100000,264.9000000,266.0500000,263.8000000,265.3000000,6946180
SBER,60,20200123,110000,265.3000000,266.8900000,265.2000000,266.0000000,5143110
SBER,60,20200123,120000,265.9700000,266.1000000,264.6600000,264.9600000,2793010
SBER,60,20200123,130000,264.9200000,265.2500000,264.2500000,264.9000000,2826710
SBER,60,20200123,140000,264.9000000,266.6900000,264.8200000,266.1900000,2870040
SBER,60,20200123,150000,266.1900000,266.8000000,266.1300000,266.5600000,2836930
SBER,60,20200123,160000,266.5400000,266.8800000,265.7000000,266.3200000,2330350
SBER,60,20200123,170000,266.3200000,266.3400000,263.1000000,263.5000000,6905600
SBER,60,20200123,180000,263.5400000,263.9800000,262.2400000,263.7300000,7832340
SBER,60,20200124,100000,264.5300000,265.8700000,264.5300000,265.5500000,3688780
SBER,60,20200124,110000,265.5500000,267.5000000,265.0800000,266.4500000,5897250
SBER,60,20200124,120000,266.4700000,266.6900000,264.5100000,264.7300000,3622920
SBER,60,20200124,130000,264.7200000,265.4900000,264.2100000,264.4200000,2387800
SBER,60,20200124,140000,264.3600000,266.3000000,264.2500000,266.0000000,3037920
SBER,60,20200124,150000,266.1400000,266.5000000,265.7300000,265.9000000,1604700
SBER,60,20200124,160000,266.0200000,266.3900000,265.4300000,266.2000000,1272850
SBER,60,20200124,170000,266.2000000,266.3100000,264.7500000,266.3100000,2736190
SBER,60,20200124,180000,266.3100000,266.8600000,265.1500000,265.4900000,2997840
SBER,60,20200127,100000,260.9900000,261.2200000,259.7800000,260.1500000,10237960
SBER,60,20200127,110000,260.1500000,262.1000000,259.9200000,260.3400000,5065340
SBER,60,20200127,120000,260.3500000,260.4200000,257.7000000,258.0600000,9669020
SBER,60,20200127,130000,258.0600000,258.3500000,256.7200000,257.2500000,6745430
SBER,60,20200127,140000,257.2500000,258.2000000,255.7000000,257.2800000,6253730
SBER,60,20200127,150000,257.3400000,257.9600000,256.5200000,256.8500000,2552320
SBER,60,20200127,160000,256.8500000,256.9000000,255.7900000,256.1200000,3474000
SBER,60,20200127,170000,256.1100000,257.1600000,256.0000000,256.4200000,4637320
SBER,60,20200127,180000,256.4900000,257.3100000,255.3200000,255.3200000,7376540
